,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,P0-Pinf
0,0,165.262512,179.185501,-88.236008,-89.424858,-98.57399,-104.791306,-100.598816,-104.191628,-85.365219,-77.68515,-74.152031,-74.144615,38.398834,-165.130249,170.173767
0,0,164.098679,177.434509,-87.067314,-88.78611,-97.961731,-103.664513,-101.197617,-103.592819,-85.365219,-77.113945,-74.152031,-73.565361,37.252602,-164.544678,168.425415
0,0,164.680588,178.018173,-86.482979,-88.147362,-96.737213,-103.10112,-102.994019,-102.994019,-83.535957,-76.542732,-73.028503,-72.986107,37.252602,-164.544678,169.008194
0,0,164.098679,177.434509,-87.067314,-88.78611,-97.349472,-103.664513,-105.389236,-103.592819,-84.75547,-76.542732,-73.590256,-72.986107,37.252602,-165.130249,168.425415
,,164.5351145,178.018173,-87.21340375,-88.78611,,,,,,,,,,,
,,15,16,17,18,19,20,,,,,,,,,
,,-185.806717,-154.916931,183.886124,-79.843628,-63.062866,-51.818451,,,,,,,,,
,,-184.645447,-153.169724,183.886124,-77.927376,-61.838341,-50.128719,,,,,,,,,
,,-185.806717,-154.334518,184.471741,-77.288628,-60.022053,-50.128719,,,,,,,,,
,,-185.806717,-152.591141,186.228607,-76.649879,-59.40958,-49.002232,,,,,,,,,
