Group,Velocity,AOA,C_L,C_D,C_M
1,16.2865585496114,-5,-0.508313076900623,0.053488406533575,-0.01791274255888
1,16.2865585496114,0,0.067542791010286,0.03794340448493,0.000966494366388
1,16.2865585496114,10,1.20817845196065,0.271829774971258,0.056523147254752
1,16.2865585496114,20,2.81801446172155,1.12270897179241,0.142272077270879
1,16.2865585496114,30,4.13679702729536,2.54241358585883,0.222603484875553
1,16.2865585496114,33,3.96431524012472,2.7229418724154,0.139507802743015
1,16.2865585496114,42.8,4.04465563654953,3.93621040556719,0.253187744201073
1,16.2865585496114,42.8,4.08383748798477,3.98464544946486,0.264229281467463
2,17.8489235192619,-5,-0.426890238611527,0.057918044224537,-0.017994597913069
2,17.8489235192619,0,0.205303022528253,0.037154542210779,0.002352058229627
2,17.8489235192619,10,1.26086908494425,0.280683016018265,0.061577904816179
2,17.8489235192619,20,2.858747050872,1.11529444622494,0.140105988372605
2,17.8489235192619,30,3.84616516053447,2.33374823854096,0.207878260195505
2,17.8489235192619,40,3.82338361025576,3.35061142881179,0.228216717690746
2,17.8489235192619,43,3.61236615520249,3.54570662053681,0.231546508386387
3,18.8982236504614,-5,-0.460785762318919,0.068660615233075,-0.024039082853785
3,18.8982236504614,0,0.019776216716066,0.033158559151432,-0.001391033740421
3,18.8982236504614,10,1.11256070335504,0.260018962965811,0.052553337710949
3,18.8982236504614,20,2.69519882759734,1.06884317078799,0.13551255213623
3,18.8982236504614,30,3.98996851604275,2.4389375156071,0.206584740665223
3,18.8982236504614,38,3.65251674640694,3.00027387092027,0.208566560898345
3,18.8982236504614,43,1.87363377746026,1.86642319199153,0.643316597134053
4,19.8294786019818,-5,-0.471005766232757,0.024632188944571,-0.021104696422311
4,19.8294786019818,0,-0.018657996157366,0.033132001005811,-0.001415370045468
4,19.8294786019818,10,1.27334601598188,0.277896233604379,0.060041761720215
4,19.8294786019818,20,2.60981895365822,1.03449959659972,0.124713416958471
4,19.8294786019818,30,3.7702455846206,2.29268876347283,0.198236260524634
4,19.8294786019818,40,3.79905597603562,3.33448598141404,0.228856974226044
4,19.8294786019818,43,3.48242825968283,3.39287113562226,0.217043507216223
6,19.7327274083805,-5,-0.430442804905033,0.083506128323753,-0.024614875436891
6,19.7327274083805,0,0.074063705336617,0.045608779628128,0.008452446777181
6,19.7327274083805,10,1.25154281904074,0.266850772687971,0.071264924108927
6,19.7327274083805,20,2.49263308874163,1.00402257720871,0.121944952216529
6,19.7327274083805,30,3.69275208885496,2.27193371550236,0.190654791419022
6,19.7327274083805,40,3.60449188349221,3.18263570753908,0.220252348025843
6,19.7327274083805,44,3.5322014661535,3.57937706557067,0.199728951404041
